pcode,day,LOC_DST_ep_0,LOC_DST_ep_1,LOC_DST_ep_2,LOC_DST_ep_3,LOC_DST_ep_4,LOC_CNT_ep_0,LOC_CNT_ep_1,LOC_CNT_ep_2,LOC_CNT_ep_3,LOC_CNT_ep_4,SCR_DUR_ep_0,SCR_DUR_ep_1,SCR_DUR_ep_2,SCR_DUR_ep_3,SCR_DUR_ep_4,ACT_WALKING_ep_0,ACT_WALKING_ep_1,ACT_WALKING_ep_2,ACT_WALKING_ep_3,ACT_WALKING_ep_4,ACT_RUNNING_ep_0,ACT_RUNNING_ep_1,ACT_RUNNING_ep_2,ACT_RUNNING_ep_3,ACT_RUNNING_ep_4,ACT_STILL_ep_0,ACT_STILL_ep_1,ACT_STILL_ep_2,ACT_STILL_ep_3,ACT_STILL_ep_4,ACT_FOOT_ep_0,ACT_FOOT_ep_1,ACT_FOOT_ep_2,ACT_FOOT_ep_3,ACT_FOOT_ep_4,ACT_UNKNOWN_ep_0,ACT_UNKNOWN_ep_1,ACT_UNKNOWN_ep_2,ACT_UNKNOWN_ep_3,ACT_UNKNOWN_ep_4,CON_DUR_ep_0,CON_DUR_ep_1,CON_DUR_ep_2,CON_DUR_ep_3,CON_DUR_ep_4,CON_CNT_ep_0,CON_CNT_ep_1,CON_CNT_ep_2,CON_CNT_ep_3,CON_CNT_ep_4,SLP_DUR,SLP_START,SLP_END,stress_binary_personal
P000,2013-04-08 00:00:00-04:00,153888.78,43495.867,35066.848,40933.094,34392.97,7.3333335,2.0,4.0,3.0,3.6666667,35880.0,1357.6666,7161.6665,13091.0,14269.667,4551.6665,8.0,1145.3334,2304.6667,1093.6666,3788.6667,0.0,96.666664,1147.6666,2544.3333,74616.664,21033.334,19484.0,16767.0,17332.334,8340.333,8.0,1242.0,3452.3333,3638.0,1992.0,74.0,446.0,1119.6666,352.33334,24104.334,474.66666,4843.3335,10626.667,8159.6665,34.333332,0.6666667,11.0,10.666667,12.0,7.3099074,41.95037,102.40518,0
P000,2013-04-09 00:00:00-04:00,61877.457,6406.837,19465.99,1816.1237,34188.508,7.0,1.6666666,4.3333335,2.6666667,3.3333333,41570.0,2424.0,10645.333,16710.334,11790.333,4576.0,72.333336,1510.3334,2493.3333,500.0,2948.6667,0.0,96.666664,387.66666,2464.3333,76206.664,21133.334,18783.334,18059.334,18230.666,7524.6665,72.333336,1607.0,2881.0,2964.3333,1822.3334,74.0,930.0,556.0,262.33334,21435.0,474.66666,6200.3335,9662.333,5097.6665,30.666666,0.6666667,8.666667,8.0,13.333333,6.3214817,45.06963,97.617035,0
P000,2013-04-10 00:00:00-04:00,56721.96,6406.4165,17321.697,2694.2815,30299.566,9.333333,1.6666666,6.0,3.6666667,2.6666667,51101.332,4137.0,15304.0,16108.0,15552.333,5876.6665,64.333336,2197.3333,3259.3333,355.66666,1990.3334,0.0,103.0,549.3333,1338.0,75743.336,21289.666,18234.666,16985.334,19233.666,7867.0,64.333336,2300.3333,3808.6667,1693.6666,2021.0,69.0,903.6667,629.3333,419.0,22770.0,13.666667,8850.333,9819.333,4086.6667,29.333334,0.33333334,10.0,6.6666665,12.333333,5.206389,46.337776,89.96445,0
P000,2013-04-11 00:00:00-04:00,36089.49,6404.3604,19054.684,3549.002,7081.442,9.0,1.6666666,5.0,5.0,2.0,62467.668,10125.667,15135.333,19201.334,18005.334,5823.6665,64.333336,2087.6667,3140.3333,531.3333,639.3333,0.0,148.66667,490.0,0.6666667,76413.0,21250.334,18198.666,16961.0,20003.0,6463.0,64.333336,2236.3333,3630.3333,532.0,2326.0,0.0,896.3333,726.3333,703.3333,22528.0,0.0,9095.0,9770.333,3662.6667,31.333334,0.0,9.333333,8.333333,13.666667,6.2719445,39.10889,91.26,0
P000,2013-04-12 00:00:00-04:00,22672.627,2.3700075,11580.753,3480.6018,7608.903,9.666667,1.0,5.6666665,5.3333335,2.6666667,64642.668,11901.0,16549.666,14592.0,21600.0,6515.0,0.0,2652.6667,2855.6667,1006.6667,816.6667,0.0,232.0,500.66666,84.0,74868.664,21073.666,17576.666,16980.0,19238.334,7331.6665,0.0,2884.6667,3356.3333,1090.6666,2056.3333,0.0,586.6667,702.3333,767.3333,28882.334,23.666666,10419.0,11734.667,6705.0,36.666668,0.33333334,9.666667,12.0,14.666667,0.0,0.0,0.0,0
P000,2013-04-13 00:00:00-04:00,60855.445,2.7117417,8459.039,23256.834,29136.861,8.333333,1.0,3.6666667,5.6666665,4.0,66338.336,17241.666,18032.334,15069.667,15994.667,4907.0,0.0,1751.0,2055.3333,1100.6666,656.6667,0.0,220.66667,342.33334,93.666664,75717.336,21175.666,18691.0,17312.666,18538.0,5563.6665,0.0,1971.6666,2397.6667,1194.3334,2837.6667,0.0,472.66666,1215.6666,1149.3334,29157.666,191.0,7125.6665,13421.333,8419.667,40.666668,1.6666666,8.333333,15.0,15.666667,0.0,0.0,0.0,0
P000,2013-04-14 00:00:00-04:00,78715.21,6427.15,15154.518,23973.982,33159.56,6.6666665,1.3333334,4.0,3.6666667,4.3333335,46435.0,10085.333,15295.667,10686.0,10368.0,2725.3333,0.0,1005.0,780.6667,939.6667,1462.3334,0.0,83.333336,156.33333,1222.6666,77551.0,20965.0,19439.334,19083.0,18063.666,4187.6665,0.0,1088.3334,937.0,2162.3333,2128.6667,0.0,382.66666,958.3333,787.6667,23465.666,214.66667,5710.6665,10385.0,7155.3335,41.0,2.0,10.0,16.0,13.0,8.134167,32.89111,99.94,1
P000,2013-04-15 00:00:00-04:00,98911.734,23465.133,18112.346,24017.035,33317.223,6.3333335,2.0,4.0,4.0,4.3333335,45187.332,8086.6665,16194.0,13850.0,7056.6665,2733.3333,0.0,1107.3334,758.0,868.0,1327.0,0.0,107.0,80.666664,1139.3334,78538.0,21230.666,19582.666,19236.334,18488.334,4060.3333,0.0,1214.3334,838.6667,2007.3334,2383.6667,0.0,445.66666,1231.6666,706.3333,21642.0,214.66667,5613.6665,11842.333,3971.3333,38.0,2.0,10.0,15.666667,10.333333,8.134167,32.89111,99.94,1
P000,2013-04-16 00:00:00-04:00,65802.66,23491.799,23944.975,5978.253,12387.629,6.0,2.3333333,5.6666665,3.6666667,3.6666667,38171.668,2029.0,14994.0,12554.0,8594.667,3742.0,0.0,1705.0,1168.3334,868.6667,1393.6666,0.0,186.66667,77.333336,1129.6666,77835.0,21176.666,18735.0,19614.334,18309.0,5135.6665,0.0,1891.6666,1245.6666,1998.3334,2376.6667,2.6666667,559.0,605.6667,1209.3334,22673.666,162.0,8599.333,11310.0,2602.3333,33.666668,1.6666666,13.0,12.333333,6.6666665,6.8381944,37.288887,93.97,1
P000,2013-04-17 00:00:00-04:00,51555.97,22390.684,15646.03,4018.6396,9500.616,8.0,2.6666667,6.6666665,5.0,4.0,53583.332,4437.0,17999.334,16925.666,14221.333,6302.3335,2.0,2593.6667,2426.6667,1280.0,855.3333,0.0,415.0,168.33333,272.0,76112.0,21445.334,17868.0,18115.666,18683.0,7157.6665,2.0,3008.6667,2595.0,1552.0,2828.0,72.0,651.0,814.0,1291.0,26623.666,138.33333,10893.0,13027.333,2565.0,28.666666,1.3333334,11.333333,10.333333,5.6666665,5.542222,41.68667,88.0,1
P000,2013-04-18 00:00:00-04:00,54854.35,5350.875,12073.873,5755.594,31674.01,8.0,2.0,6.0,4.3333335,3.6666667,59659.668,10794.0,15890.333,15910.0,17065.334,5298.3335,2.0,1742.0,2294.3333,1260.0,928.6667,0.0,388.66666,263.0,277.0,77342.336,21458.666,18754.0,18508.334,18621.334,6227.0,2.0,2130.6667,2557.3333,1537.0,2381.0,72.0,599.6667,396.66666,1312.6666,23303.334,114.666664,7314.3335,10849.0,5025.3335,24.333334,1.0,8.666667,9.666667,5.0,5.542222,41.68667,88.0,1
P000,2013-04-19 00:00:00-04:00,145052.64,5335.434,13584.87,71058.15,55074.19,7.6666665,1.6666666,5.3333335,4.3333335,2.6666667,64703.668,12934.333,14609.667,16027.0,21132.666,6359.0,2.0,1908.3334,3206.0,1242.6666,1355.0,0.0,541.3333,533.3333,280.33334,69547.664,21348.334,18321.666,14990.0,14887.667,7714.0,2.0,2449.6667,3739.3333,1523.0,4878.6665,137.0,659.6667,2665.6667,1416.3334,24762.666,0.0,7868.6665,11387.667,5506.3335,24.333334,0.0,7.6666665,11.666667,5.0,4.017778,53.884445,88.00222,0
P000,2013-04-20 00:00:00-04:00,225585.25,79.05223,10054.362,103132.086,112319.76,5.6666665,1.3333334,3.6666667,3.0,2.3333333,53972.0,11394.667,9292.333,14428.667,18856.334,5866.0,0.0,1044.3334,3836.6667,985.0,1332.3334,0.0,313.0,944.6667,74.666664,64660.332,20478.0,19384.666,12396.0,12401.667,7198.3335,0.0,1357.3334,4781.3335,1059.6666,8349.667,67.666664,372.0,3887.3333,4022.6667,29760.334,376.66666,6339.6665,14201.333,8842.667,28.333334,0.33333334,4.3333335,12.666667,11.0,6.709306,45.982224,101.632225,0
P000,2013-04-21 00:00:00-04:00,195546.12,79.01008,7460.8657,100690.64,87315.61,4.0,1.3333334,2.6666667,2.3333333,2.0,43312.668,4207.0,10201.667,12014.667,16889.334,5187.0,0.0,1078.6666,3347.6667,760.6667,1982.0,0.0,232.33333,772.6667,977.0,63739.0,20137.334,19246.334,12854.667,11500.667,7169.0,0.0,1311.0,4120.3335,1737.6666,8129.3335,67.666664,255.66667,3811.6667,3994.3333,27806.334,682.3333,8867.333,11565.667,6691.0,34.666668,0.6666667,8.333333,13.0,12.666667,7.0537963,41.34889,99.754814,0
P000,2013-04-22 00:00:00-04:00,99901.39,95.51075,3016.0679,33332.105,63457.707,4.0,1.3333334,3.0,2.3333333,2.6666667,40386.332,3369.0,10521.667,13827.333,12668.333,5282.0,0.0,1360.0,2751.3333,1170.6666,1476.6666,0.0,0.0,503.0,973.6667,69466.0,20302.666,19290.334,14577.0,15296.0,6758.6665,0.0,1360.0,3254.3333,2144.3333,4914.6665,0.0,211.66667,1531.0,3172.0,21774.0,682.3333,4874.3335,9689.667,6527.6665,32.0,0.6666667,4.6666665,11.666667,15.0,8.571806,35.081112,105.63111,0
P000,2013-04-23 00:00:00-04:00,12002.963,46.64285,5556.236,638.8146,5761.27,4.3333335,1.3333334,3.6666667,2.0,3.0,44720.332,3116.3333,13879.667,12883.333,14841.0,4491.6665,0.6666667,1842.6666,962.6667,1685.6666,1063.3334,0.0,78.0,3.0,982.3333,74104.0,20951.334,18306.0,18061.666,16785.0,5555.0,0.6666667,1920.6666,965.6667,2668.0,2211.6667,0.0,642.0,339.33334,1230.3334,21216.0,305.66666,6341.3335,8179.6665,6389.3335,31.666666,0.33333334,7.6666665,12.0,11.666667,6.621389,37.88222,92.82889,0
P000,2013-04-24 00:00:00-04:00,23582.736,47.021164,5492.5522,7873.0186,10170.144,5.0,1.3333334,3.3333333,3.0,3.0,54809.332,10304.0,16279.667,14133.667,14092.0,4583.6665,0.6666667,1825.6666,1377.6666,1379.6666,333.0,0.0,100.666664,157.33333,75.0,74344.0,21086.334,18501.666,17363.334,17392.666,4916.6665,0.6666667,1926.3334,1535.0,1454.6666,2318.6667,0.0,572.6667,592.3333,1153.6666,22634.0,0.0,5085.3335,11896.0,5652.6665,28.666666,0.0,6.6666665,13.0,9.0,5.5,43.68222,89.657776,0
P000,2013-04-25 00:00:00-04:00,22702.91,88.34935,5195.9785,10038.274,7380.3066,5.3333335,1.6666666,3.0,3.0,2.3333333,54909.0,11578.0,16303.333,12364.333,14663.333,4390.6665,0.6666667,1420.0,1692.3334,1277.6666,429.33334,0.0,100.666664,246.33333,82.333336,75167.336,20756.334,18448.666,18013.666,17948.666,4820.0,0.6666667,1520.6666,1938.6666,1360.0,2356.3333,0.0,754.3333,745.0,857.0,28774.334,0.0,6364.0,15664.0,6746.3335,33.333332,0.0,9.666667,12.666667,11.0,5.5,43.68222,89.657776,0
P000,2013-04-26 00:00:00-04:00,24298.914,76.48804,5941.2466,10722.786,7558.393,7.0,1.3333334,3.6666667,4.3333335,2.6666667,56424.0,13793.333,17709.0,12589.667,12332.0,5729.6665,2.3333333,1547.0,2620.3333,1560.0,588.6667,0.0,233.33333,341.0,14.333333,75593.0,21047.666,18677.0,17224.0,18644.334,6318.3335,2.3333333,1780.3334,2961.3333,1574.3334,1631.3334,0.0,576.6667,836.3333,218.33333,27538.334,171.66667,6900.3335,14097.333,6369.0,34.0,0.6666667,9.0,11.333333,13.0,0.0,0.0,0.0,0
P000,2013-04-27 00:00:00-04:00,43978.402,83.099304,5958.3433,21069.877,16867.084,6.6666665,1.3333334,4.0,4.0,3.3333333,41705.668,6593.3335,10612.0,10419.333,14081.0,6248.3335,2.3333333,1349.0,2669.6667,2227.3333,3678.0,0.0,210.66667,3390.3333,77.0,71387.0,21263.334,19121.0,14093.333,16909.334,9926.333,2.3333333,1559.6666,6060.0,2304.3333,2738.0,0.0,575.6667,1101.6666,1060.6666,29935.666,171.66667,8463.667,13121.0,8179.3335,32.333332,0.6666667,12.0,8.333333,11.333333,5.3794446,86.886665,131.89778,0
P000,2013-04-29 00:00:00-04:00,55537.633,285.3396,3956.1096,26889.379,24406.805,4.0,1.5,3.0,2.5,3.5,42218.0,6973.5,9454.5,10940.5,14849.5,5978.0,0.0,1324.5,3304.0,1349.5,5180.5,0.0,26.0,5047.5,107.0,68408.0,21123.5,19064.5,12042.0,16178.0,11158.5,0.0,1350.5,8351.5,1456.5,3371.5,108.0,820.0,803.0,1640.5,31577.5,25.5,9925.0,13026.5,8600.5,37.0,0.5,15.0,9.5,12.0,4.045833,74.94,109.28222,0
P000,2013-04-30 00:00:00-04:00,14595.429,280.63193,7181.2656,2275.1497,4858.382,4.5,1.5,3.5,3.0,2.5,51439.0,6973.5,12534.5,18980.0,12951.0,5983.5,0.0,1928.0,3268.0,787.5,683.5,0.0,26.0,548.0,109.5,67903.5,20595.5,16281.0,11393.0,19634.0,6667.0,0.0,1954.0,3816.0,897.0,3287.0,108.0,2650.0,152.0,377.0,29472.0,25.5,9411.5,10980.0,9055.0,42.0,0.5,12.0,8.5,21.0,2.7122223,62.993332,86.666664,1
P000,2013-05-01 00:00:00-04:00,1832418.5,2336.5417,8596.909,1818246.1,3238.9211,5.0,1.6666666,4.3333335,3.0,1.6666666,52739.332,7091.0,11557.0,18257.334,15834.0,7336.0,94.666664,2398.0,3405.3333,1438.0,833.3333,0.0,100.0,660.3333,73.0,63206.332,20418.666,16440.0,10653.333,15694.333,8169.3335,94.666664,2498.0,4065.6667,1511.0,5286.3335,371.0,2064.3333,2591.6667,259.33334,27939.666,225.33333,9678.333,10950.333,7085.6665,41.333332,1.0,13.666667,11.0,15.666667,2.7875,62.79,87.06555,0
P000,2013-05-03 00:00:00-04:00,2734952.0,3400.1804,6225.497,2725247.0,79.41602,4.0,2.0,4.0,2.5,0.5,43672.0,5010.0,8788.5,8714.0,21159.5,10032.0,142.0,5164.0,3356.5,1369.5,572.0,0.0,129.5,442.5,0.0,62078.0,20718.5,13842.5,12969.5,14547.5,10604.0,142.0,5293.5,3799.0,1369.5,7101.5,448.5,2142.5,4498.5,12.0,26952.0,403.5,11202.0,10565.5,4781.0,51.5,1.5,17.0,17.5,15.5,3.0586112,56.72333,83.16778,0
P000,2013-05-05 00:00:00-04:00,9181.749,1285.1683,3786.298,3731.6794,378.60358,2.0,1.5,1.5,1.5,1.5,40955.0,8419.0,9809.5,11108.0,11618.5,13778.5,2815.5,8230.5,2369.0,363.5,3251.5,949.5,1838.0,464.0,0.0,62592.0,17121.5,9207.5,15484.0,20779.0,17030.0,3765.0,10068.5,2833.0,363.5,3095.5,158.5,1746.5,1083.0,107.5,26708.0,2823.0,9840.5,10101.0,3943.5,55.0,9.0,18.0,13.5,14.5,2.5406945,61.146667,83.44778,0
P000,2013-05-06 00:00:00-04:00,443917.1,2380.1086,17369.53,423301.06,866.38855,2.0,1.5,1.0,1.0,1.5,46055.0,9714.0,13917.0,18530.5,3893.5,15246.0,4520.5,7537.5,1907.5,1280.5,5277.0,1574.0,2876.5,811.5,15.0,57863.0,14688.0,9659.0,13767.0,19749.0,20523.0,6094.5,10414.0,2719.0,1295.5,3945.5,163.0,864.5,2807.5,110.5,27219.5,4462.5,10056.0,11011.5,1689.5,56.5,12.0,24.0,16.0,4.5,1.7684722,68.33,84.45333,0
P000,2013-05-08 00:00:00-04:00,2486593.2,387258.16,9506.038,2026009.2,63819.92,1.3333334,1.3333334,1.0,1.0,0.6666667,41935.0,11289.333,14334.0,7543.6665,8768.0,8842.0,2346.6667,3293.0,2173.6667,1028.6666,2511.0,871.0,773.6667,301.0,565.3333,61441.0,17351.334,11890.667,15988.667,16210.333,11353.0,3217.6667,4066.6667,2474.6667,1594.0,7194.6665,530.3333,1709.3334,2752.6667,2202.3333,32782.332,7515.6665,12052.0,10902.667,2312.0,51.0,8.333333,20.0,14.333333,8.333333,1.7615278,64.28555,80.35333,1
P000,2013-05-09 00:00:00-04:00,2201495.2,386411.3,2370.4624,1747016.0,65697.375,2.6666667,1.0,1.6666666,2.3333333,1.0,36662.332,11205.0,9570.333,6416.0,9471.0,6700.0,1277.6666,1732.3334,2903.6667,786.3333,1439.0,454.66666,89.0,335.66666,559.6667,64541.668,17395.0,14494.0,16522.666,16130.0,8139.0,1732.3334,1821.3334,3239.3333,1346.0,5626.3335,535.0,1279.0,1371.6666,2440.6667,30260.0,6362.0,8167.0,11528.333,4202.6665,37.333332,6.0,12.0,10.0,9.333333,3.0843055,52.69,79.34,0
P000,2013-05-10 00:00:00-04:00,2206781.0,385959.22,5376.2676,1747500.2,67945.195,4.0,1.0,3.0,3.0,1.6666666,40621.668,5316.6665,12029.0,8239.667,15036.333,6875.0,958.3333,2060.6667,2981.3333,874.6667,1417.6666,380.0,177.66667,295.33334,564.6667,64195.332,17847.666,13963.667,16459.0,15925.0,8292.667,1338.3334,2238.3333,3276.6667,1439.3334,5383.0,380.33334,1276.0,1288.3334,2438.3333,21360.334,2969.0,4948.3335,8725.333,4717.6665,37.666668,4.0,9.666667,9.666667,14.333333,4.3917594,46.31333,83.422966,0
P000,2013-05-11 00:00:00-04:00,30358.258,0.58763576,9587.587,10997.403,9772.68,4.6666665,1.0,3.6666667,3.3333333,2.0,46165.332,8988.667,12414.667,10100.667,14661.333,5504.6665,74.666664,1654.0,2926.6667,849.3333,493.0,0.0,110.666664,373.0,9.333333,72917.0,19367.334,18029.0,16546.0,18974.666,5997.6665,74.666664,1764.6666,3299.6667,858.6667,2823.3333,7.6666665,1005.0,923.3333,887.3333,23070.334,77.333336,4996.0,10604.333,7392.6665,31.333334,0.33333334,7.6666665,10.333333,13.0,5.6811113,37.79778,85.22222,0
P000,2013-05-12 00:00:00-04:00,35123.816,0.12845227,9831.061,12858.668,12433.96,4.0,1.0,3.3333333,3.0,2.0,60351.0,14511.667,16526.334,9911.0,19402.0,4399.6665,7.0,1620.6666,1949.6666,822.3333,292.66666,0.0,104.666664,177.0,11.0,75343.0,20680.0,17812.666,17776.666,19073.666,4692.3335,7.0,1725.3334,2126.6667,833.3333,2709.6667,0.0,1125.0,752.0,832.6667,23258.0,100.666664,6669.3335,8992.667,7495.3335,32.333332,0.6666667,8.666667,12.666667,10.333333,7.0066667,33.56,91.58889,0
P000,2013-05-13 00:00:00-04:00,35046.69,0.14656557,9833.181,12769.104,12444.262,4.3333335,1.0,3.0,3.0,2.0,62755.668,21600.0,17008.0,9562.333,14585.333,4868.3335,0.0,2018.0,1602.0,1248.3334,686.6667,0.0,314.0,289.66666,83.0,75388.336,20960.334,17259.0,18313.0,18856.0,5555.0,0.0,2332.0,1891.6666,1331.3334,2913.6667,0.0,1348.0,729.0,836.6667,24420.334,23.333334,6444.3335,9863.333,8089.3335,28.0,0.33333334,9.666667,12.0,6.0,0.0,0.0,0.0,0
P000,2013-05-14 00:00:00-04:00,33508.23,0.14656557,14187.401,12145.349,7175.3345,4.0,1.0,2.6666667,3.0,1.6666666,53582.0,14400.0,13120.0,10105.667,15956.333,4574.6665,0.0,1941.0,1699.6666,934.0,815.0,0.0,315.66666,416.33334,83.0,77535.0,21254.666,18038.666,18190.0,20051.666,5389.6665,0.0,2256.6667,2116.0,1017.0,2156.3333,0.0,942.0,931.0,283.33334,21579.334,23.333334,6629.6665,9298.0,5628.3335,30.0,0.33333334,10.0,12.0,7.6666665,0.0,0.0,0.0,1
